augmentation,px,model,class,precision,recall,f1,support
aug_light,32,densenet121,atopic_dermatitis,0.6842105263157895,0.65,0.6666666666666666,20.0
aug_light,32,densenet121,impetigo,0.95,0.95,0.95,20.0
aug_light,32,densenet121,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,20.0
aug_light,32,densenet121,sarcoptes_scabiei,0.6153846153846154,0.4,0.48484848484848486,20.0
aug_light,32,densenet121,tinea_corporis,0.375,0.6,0.46153846153846156,20.0
aug_light,32,densenet121,warts,0.6923076923076923,0.45,0.5454545454545454,20.0
aug_light,40,densenet121,atopic_dermatitis,0.5517241379310345,0.8,0.6530612244897959,20.0
aug_light,40,densenet121,impetigo,0.95,0.95,0.95,20.0
aug_light,40,densenet121,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,40,densenet121,sarcoptes_scabiei,0.7,0.35,0.4666666666666667,20.0
aug_light,40,densenet121,tinea_corporis,0.4,0.5,0.4444444444444444,20.0
aug_light,40,densenet121,warts,0.7857142857142857,0.55,0.6470588235294118,20.0
aug_light,48,densenet121,atopic_dermatitis,0.6153846153846154,0.8,0.6956521739130435,20.0
aug_light,48,densenet121,impetigo,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,48,densenet121,prickly_heat,1.0,0.9,0.9473684210526315,20.0
aug_light,48,densenet121,sarcoptes_scabiei,0.6666666666666666,0.4,0.5,20.0
aug_light,48,densenet121,tinea_corporis,0.48148148148148145,0.65,0.5531914893617021,20.0
aug_light,48,densenet121,warts,0.8666666666666667,0.65,0.7428571428571429,20.0
aug_light,56,densenet121,atopic_dermatitis,0.6190476190476191,0.65,0.6341463414634146,20.0
aug_light,56,densenet121,impetigo,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,56,densenet121,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,56,densenet121,sarcoptes_scabiei,0.9,0.45,0.6,20.0
aug_light,56,densenet121,tinea_corporis,0.5,0.7,0.5833333333333334,20.0
aug_light,56,densenet121,warts,0.7647058823529411,0.65,0.7027027027027027,20.0
aug_light,64,densenet121,atopic_dermatitis,0.5769230769230769,0.75,0.6521739130434783,20.0
aug_light,64,densenet121,impetigo,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,64,densenet121,prickly_heat,1.0,0.9,0.9473684210526315,20.0
aug_light,64,densenet121,sarcoptes_scabiei,0.7272727272727273,0.4,0.5161290322580645,20.0
aug_light,64,densenet121,tinea_corporis,0.4482758620689655,0.65,0.5306122448979592,20.0
aug_light,64,densenet121,warts,0.7857142857142857,0.55,0.6470588235294118,20.0
aug_light,80,densenet121,atopic_dermatitis,0.6818181818181818,0.75,0.7142857142857143,20.0
aug_light,80,densenet121,impetigo,1.0,1.0,1.0,20.0
aug_light,80,densenet121,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,80,densenet121,sarcoptes_scabiei,1.0,0.6,0.75,20.0
aug_light,80,densenet121,tinea_corporis,0.5909090909090909,0.65,0.6190476190476191,20.0
aug_light,80,densenet121,warts,0.7727272727272727,0.85,0.8095238095238095,20.0
aug_light,96,densenet121,atopic_dermatitis,0.6428571428571429,0.9,0.75,20.0
aug_light,96,densenet121,impetigo,1.0,1.0,1.0,20.0
aug_light,96,densenet121,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20.0
aug_light,96,densenet121,sarcoptes_scabiei,1.0,0.7,0.8235294117647058,20.0
aug_light,96,densenet121,tinea_corporis,0.7222222222222222,0.65,0.6842105263157895,20.0
aug_light,96,densenet121,warts,0.8888888888888888,0.8,0.8421052631578947,20.0
aug_light,112,densenet121,atopic_dermatitis,0.6333333333333333,0.95,0.76,20.0
aug_light,112,densenet121,impetigo,1.0,1.0,1.0,20.0
aug_light,112,densenet121,prickly_heat,0.9047619047619048,0.95,0.926829268292683,20.0
aug_light,112,densenet121,sarcoptes_scabiei,1.0,0.45,0.6206896551724138,20.0
aug_light,112,densenet121,tinea_corporis,0.52,0.65,0.5777777777777777,20.0
